MGT1022,Lean Start-up Management,EPJ,1,NIL,NIL,MD. FASEEULLAKHAN,0
MGT1022,Lean Start-up Management,ETH,1,MB219,TE2,ANOJ GIRI,0
MGT1022,Lean Start-up Management,EPJ,1,NIL,NIL,ANOJ GIRI,0
MGT1022,Lean Start-up Management,ETH,1,MB309,TE1,VINCENT HERALD WILSON,0
MGT1022,Lean Start-up Management,EPJ,1,NIL,NIL,VINCENT HERALD WILSON,0
MGT1022,Lean Start-up Management,ETH,1,CDMM302,TE2,SAURABH GUPTA,0
MGT1022,Lean Start-up Management,EPJ,1,NIL,NIL,SAURABH GUPTA,0
MGT1022,Lean Start-up Management,ETH,1,SJT601,TE2,ASHISH KUMAR,0
MGT1022,Lean Start-up Management,EPJ,1,NIL,NIL,ASHISH KUMAR,0
MGT1022,Lean Start-up Management,ETH,1,SJT711,TE2,STEPHAN THANGAIAH I S,0
MGT1022,Lean Start-up Management,EPJ,1,NIL,NIL,STEPHAN THANGAIAH I S,0
STS1022,Introduction to Business Communication,SS,1,SJT118,G1+TG1,SMART (APT),62
STS1101,Fundamentals of Aptitude,SS,1,MB309,G2+TG2,ETHNUS (APT),58
STS1201,Introduction to Problem Solving,SS,1,MB309A,G2+TG2,FACE (APT),56
STS1202,"Introduction to Quantitative, Logical and Verb",SS,1,CDMM303,G1+TG1,SMART (APT),56
STS2021,Fundamentals of Aptitude,SS,1,SJT114,E1+TE1,ETHNUS (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT114,E2+TE2,FACE (APT),6
STS2021,Fundamentals of Aptitude,SS,1,SJT115,E1+TE1,SMART (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT115,E2+TE2,ETHNUS (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT118,E1+TE1,FACE (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT118,E2+TE2,SMART (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT501,E1+TE1,ETHNUS (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT501,E2+TE2,FACE (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT505,E1+TE1,SMART (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT505,E2+TE2,ETHNUS (APT),18
STS2021,Fundamentals of Aptitude,SS,1,SJT508,E1+TE1,FACE (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT508,E2+TE2,SMART (APT),0
STS2021,Fundamentals of Aptitude,SS,1,SJT513,E1+TE1,ETHNUS (APT),0
STS2021,Fundamentals of Aptitude,SS,1,MGB 401,E1+TE1,ETHNUS (APT),60
STS2022,Arithmetic Problem Solving,SS,1,SJT115,G2+TG2,ETHNUS (APT),64
STS2101,Getting Started to Skill Enhancement,SS,1,TT716,F2+TF2,SMART (APT),49
STS2102,Enhancing Problem Solving Skills,SS,1,SJT308,F1+TF1,ETHNUS (APT),57
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT109,E1+TE1,ETHNUS (APT),0
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT109,E2+TE2,FACE (APT),0
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT112,E1+TE1,SMART (APT),0
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT112,E2+TE2,ETHNUS (APT),0
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT113,E1+TE1,FACE (APT),0
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT113,E2+TE2,SMART (APT),0
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT308,E1+TE1,ETHNUS (APT),0
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT308,E2+TE2,FACE (APT),0
STS2201,Numerical Ability and Cognitive Intelligence,SS,1,SJT311,E1+TE1,SMART (APT),0
